roll,pitch,yaw,ax,ay,az,gx,gy,gz
13,18,35,-0.15,-0.71,-0.81,62.19,16.05,-15.01
26,40,36,-0.19,-0.71,-0.84,55.3,14.28,-14.28
43,51,37,-0.15,-0.71,-0.82,50.42,14.22,-13.73
55,55,39,-0.14,-0.67,-0.85,44.8,13.79,-13.37
61,57,40,-0.17,-0.65,-0.85,41.81,12.63,-12.33
65,59,40,-0.16,-0.63,-0.84,41.2,12.7,-11.54
68,62,41,-0.17,-0.63,-0.8,41.38,12.57,-11.6
69,64,41,-0.17,-0.62,-0.8,39.92,10.44,-11.9
69,66,42,-0.18,-0.62,-0.82,38.88,10.44,-12.76
69,68,42,-0.18,-0.64,-0.79,39.67,10.8,-12.88
69,69,43,-0.2,-0.64,-0.81,38.64,10.44,-13
69,69,44,-0.19,-0.59,-0.81,37.6,12.45,-10.93
70,70,46,-0.2,-0.66,-0.79,37.29,12.02,-8.06
70,70,48,-0.22,-0.64,-0.79,36.56,11.23,-10.19
70,70,49,-0.28,-0.66,-0.81,33.87,10.01,-9.89
70,70,49,-0.21,-0.64,-0.81,27.47,11.84,-10.56
70,70,50,-0.2,-0.61,-0.84,23.56,12.45,-9.46
70,70,50,-0.2,-0.61,-0.83,23.01,14.65,-9.46
70,71,50,-0.15,-0.61,-0.83,22.16,12.7,-9.52
70,71,51,-0.2,-0.58,-0.85,19.53,10.19,-9.03
70,71,51,-0.2,-0.58,-0.84,18.8,9.03,-8.97
70,71,51,-0.22,-0.58,-0.82,20.14,6.16,-9.34
70,71,51,-0.21,-0.58,-0.81,19.96,6.9,-9.4
70,72,51,-0.2,-0.57,-0.82,19.29,7.26,-9.58
70,72,51,-0.21,-0.57,-0.81,19.04,7.51,-9.28
70,72,51,-0.2,-0.57,-0.82,18.01,7.81,-9.22
70,72,52,-0.2,-0.57,-0.83,17.64,6.53,-9.09
70,73,52,-0.2,-0.57,-0.83,18.31,5.19,-8.91
70,73,53,-0.19,-0.56,-0.82,18.8,4.46,-9.16
70,74,54,-0.19,-0.56,-0.82,19.59,3.6,-9.58
71,74,54,-0.2,-0.57,-0.81,19.59,3.6,-9.58
71,75,54,-0.2,-0.56,-0.82,21,2.81,-9.4
71,75,55,-0.2,-0.56,-0.81,22.77,2.62,-9.4
71,75,55,-0.21,-0.55,-0.82,23.74,2.44,-10.01
70,75,55,-0.21,-0.53,-0.82,23.68,2.87,-10.5
70,76,55,-0.2,-0.53,-0.83,24.05,4.03,-11.41
70,76,55,-0.21,-0.52,-0.83,25.94,4.46,-11.78
70,76,55,-0.21,-0.52,-0.84,28.44,4.76,-12.15
70,76,55,-0.22,-0.52,-0.84,30.76,5.25,-12.45
70,76,56,-0.21,-0.52,-0.84,32.04,5.25,-12.94
70,76,56,-0.22,-0.53,-0.84,33.81,4.52,-13.06
70,76,56,-0.22,-0.52,-0.85,35.22,4.82,-13.18
70,76,56,-0.23,-0.52,-0.86,35.77,5,-12.88
70,76,56,-0.23,-0.52,-0.88,35.58,4.52,-13
70,76,56,-0.23,-0.52,-0.89,35.89,3.85,-12.7
69,76,57,-0.23,-0.52,-0.89,36.87,2.99,-11.72
69,76,57,-0.23,-0.53,-0.9,37.41,2.75,-10.8
69,76,57,-0.23,-0.52,-0.9,37.05,2.44,-9.95
69,76,57,-0.22,-0.52,-0.91,35.77,1.1,-8.73
69,76,57,-0.21,-0.5,-0.92,33.75,0.06,-8.3
69,76,57,-0.22,-0.5,-0.91,31.49,-0.55,-7.51
68,76,58,-0.23,-0.49,-0.91,28.56,-1.22,-6.84
68,76,58,-0.24,-0.48,-0.91,26.43,-1.28,-6.47
68,76,58,-0.24,-0.46,-0.9,24.9,-0.98,-6.23
68,76,58,-0.25,-0.46,-0.91,23.86,-1.16,-5.98
68,76,58,-0.24,-0.45,-0.91,23.68,-1.46,-5.98
67,76,58,-0.22,-0.45,-0.91,25.27,-1.28,-6.29
67,76,58,-0.24,-0.44,-0.9,25.88,-1.04,-5.92
67,76,59,-0.26,-0.46,-0.87,25.27,-1.53,-6.47
67,76,59,-0.24,-0.46,-0.89,24.54,-2.62,-8.61
67,76,59,-0.25,-0.44,-0.93,22.89,-2.62,-7.39
67,76,60,-0.22,-0.43,-0.92,24.23,-1.1,-7.26
66,76,60,-0.23,-0.42,-0.93,25.02,-1.83,-7.2
66,76,60,-0.25,-0.41,-0.97,24.72,-2.2,-6.77
66,76,60,-0.25,-0.41,-0.91,26.31,-2.2,-6.41
