roll,pitch,yaw,ax,ay,az,gx,gy,gz
-10,8,-36,0.48,-1.14,-0.25,39.98,3.85,-9.09
-11,8,-36,0.53,-1.03,-0.23,39.98,7.39,-13
-14,8,-36,0.45,-0.95,-0.14,46.02,4.94,-15.08
-17,8,-36,0.38,-0.87,-0.08,48.95,1.16,-14.59
-21,8,-35,0.35,-0.93,0,50.17,0.18,-14.53
-24,8,-35,0.45,-0.98,-0.06,48.89,1.77,-18.62
-27,8,-35,0.44,-1.09,-0.04,52.31,8.48,-22.03
-29,8,-35,0.38,-1.08,-0.11,56.82,5.74,-26.12
-31,8,-33,0.34,-1.08,-0.15,61.34,4.39,-29.54
-33,7,-32,0.39,-1.08,-0.19,67.08,11.9,-37.6
-34,7,-30,0.24,-1.09,-0.17,75.26,10.25,-34.73
-35,7,-29,0.19,-1.08,-0.21,82.58,13.24,-25.76
-35,7,-27,0.15,-1.03,-0.19,93.38,18.43,-26.06
-36,7,-26,0.09,-1.01,-0.17,102.72,16.6,-25.15
-36,7,-25,0.06,-0.98,-0.18,105.1,19.1,-26.67
-36,7,-24,0.05,-0.99,-0.16,106.51,21.36,-33.14
-36,7,-22,0.05,-0.97,-0.16,107.42,26.49,-38.76
-37,7,-18,0.06,-0.91,-0.14,107.42,31.13,-36.32
-37,7,-9,0.08,-0.88,-0.16,106.14,37.17,-37.17
-37,6,-3,0.08,-0.89,-0.2,106.14,39.12,-37.35
-37,6,-1,-0.05,-0.95,-0.2,109.68,39.43,-37.84
-37,6,0,-0.02,-0.92,-0.26,111.88,47.73,-46.51
-37,6,1,0.05,-0.88,-0.24,117.74,54.57,-56.03
-37,6,1,-0.06,-0.89,-0.26,124.51,53.65,-56.4
-37,6,1,-0.04,-0.83,-0.35,120.12,58.65,-55.48
-37,6,1,-0.12,-0.84,-0.41,118.23,56.21,-52.86
-37,6,1,-0.08,-0.86,-0.57,119.51,51.27,-47.24
-37,6,1,-0.1,-0.9,-0.57,121.52,51.21,-37.23
-37,6,1,-0.02,-1.06,-0.57,119.93,43.27,-34.3
-37,7,1,-0.2,-1.15,-0.61,119.38,28.14,-22.03
-37,7,2,-0.1,-1.05,-0.59,121.46,35.28,-12.57
-37,7,2,-0.06,-0.98,-0.58,123.96,38.64,-4.15
-37,7,2,-0.04,-0.96,-0.85,120.18,34.12,4.39
-37,7,2,-0.09,-0.89,-0.75,120.85,21.24,13.92
-36,8,2,-0.09,-0.89,-0.75,102.11,13.67,10.19
-7,12,2,-0.05,-0.93,-0.73,75.74,15.14,12.51
9,17,2,-0.04,-0.87,-0.7,56.88,11.11,10.01
23,21,3,-0.1,-0.81,-0.75,56.88,11.11,10.01
30,24,3,-0.13,-0.86,-0.79,49.44,13.85,-0.49
36,29,3,-0.08,-0.89,-0.73,49.74,15.32,-10.44
41,36,3,0,-0.93,-0.62,53.59,13.06,-10.07
45,47,4,-0.09,-0.9,-0.64,40.71,7.32,-4.7
49,54,6,-0.08,-0.84,-0.67,29.36,2.99,-7.69
52,58,7,-0.11,-0.83,-0.68,24.66,3.42,-9.28
53,59,8,-0.13,-0.81,-0.68,23.32,2.32,-7.45
55,60,9,-0.09,-0.83,-0.66,26.49,4.03,-7.32
56,62,11,-0.03,-0.82,-0.62,29.66,3.17,-4.33
57,63,12,-0.09,-0.79,-0.64,27.71,-0.31,-0.06
58,64,14,-0.15,-0.82,-0.63,24.29,-2.01,2.2
59,64,16,-0.08,-0.84,-0.61,25.09,0.98,-1.28
60,65,18,-0.08,-0.83,-0.65,21.91,4.03,-1.77
62,66,21,-0.06,-0.8,-0.69,17.88,3.72,-2.08
64,68,23,-0.06,-0.81,-0.69,15.56,3.3,-1.65
65,69,24,-0.07,-0.82,-0.69,14.71,1.89,-0.85
66,69,25,-0.05,-0.82,-0.67,14.34,1.4,-0.85
67,70,26,-0.03,-0.8,-0.67,12.21,1.22,-0.18
68,70,27,-0.07,-0.79,-0.66,11.17,-1.59,2.44
68,71,27,-0.08,-0.81,-0.63,10.86,-3.72,2.69
69,71,28,-0.07,-0.82,-0.64,10.31,-4.33,1.46
70,72,29,-0.07,-0.8,-0.66,8.67,-4.76,2.08
72,73,30,-0.06,-0.8,-0.66,8.97,-5.13,2.75
73,74,31,-0.07,-0.8,-0.66,9.95,-6.65,4.09
75,75,33,-0.07,-0.8,-0.67,10.07,-6.77,4.76
76,76,33,-0.06,-0.79,-0.69,9.09,-6.77,5.13
77,77,34,-0.05,-0.8,-0.7,8.91,-8,5.62
79,78,34,-0.07,-0.81,-0.71,9.4,-8.36,6.47
