roll,pitch,yaw,ax,ay,az,gx,gy,gz
12,1,42,0.5,0.91,-0.08,6.16,-0.85,-38.39
13,1,42,0.53,0.97,-0.15,1.83,4.27,-38.45
15,1,41,0.51,0.91,-0.22,1.16,12.51,-32.17
16,1,40,0.49,0.92,-0.28,3.66,13.37,-32.9
17,0,40,0.47,0.89,-0.37,0.12,13.67,-30.46
20,0,39,0.47,0.91,-0.48,-4.46,14.16,-26.49
22,0,39,0.45,0.98,-0.61,-12.45,8.97,-19.78
24,0,39,0.45,1.08,-0.64,-15.56,8.97,-16.05
25,0,39,0.36,1.13,-0.64,-9.52,3.72,-11.23
25,0,38,0.35,1.13,-0.56,-1.28,-6.16,-8
26,0,38,0.34,1.17,-0.5,3.05,-17.27,-4.64
26,0,37,0.29,1.2,-0.43,9.52,-28.38,-1.83
26,0,37,0.23,1.17,-0.39,20.51,-30.4,-2.38
27,0,36,0.24,1.1,-0.33,31.49,-19.84,-3.42
27,-1,35,0.21,0.98,-0.27,38.57,-16.85,-1.1
28,-2,34,0.21,0.98,-0.27,40.1,-18.01,0.92
28,-4,33,0.18,0.92,-0.21,38.7,-19.71,2.14
29,-5,33,0.2,0.86,-0.11,38.7,-19.71,2.14
31,-5,32,0.23,0.92,-0.09,31.13,-24.84,5.43
33,-5,32,0.21,0.98,-0.11,24.48,-27.22,10.13
39,-5,32,0.31,1,-0.09,22.64,-22.16,13.37
46,-5,31,0.13,0.99,-0.19,19.41,-21.36,16.48
51,-5,30,0.2,1.01,-0.24,16.17,-9.95,15.14
54,-5,29,0.21,1.04,-0.27,17.88,-9.83,15.69
57,-5,28,0.29,1.03,-0.22,21.42,-14.77,15.75
59,-5,26,0.23,1.01,-0.17,23.5,-22.34,16.54
60,-5,24,0.12,0.95,-0.12,25.7,-25.21,17.03
61,-6,23,0.14,0.93,-0.04,26.67,-16.6,15.81
62,-6,22,0.13,0.88,0.01,22.58,-11.96,15.2
62,-6,22,0.15,0.9,0.04,16.05,-8.97,14.89
63,-6,21,0.13,0.93,0.03,7.51,-8.42,14.4
63,-6,21,0.13,0.93,0,3.3,-5.49,13.24
64,-6,21,0.13,0.93,-0.03,0,-2.87,12.27
64,-6,21,0.15,0.94,-0.05,-1.71,-2.2,11.23
65,-6,20,0.14,0.95,-0.08,-1.95,-2.87,10.31
67,-6,20,0.14,0.93,-0.07,-0.79,-2.5,10.19
72,-6,18,0.14,0.9,-0.07,1.16,-2.2,10.19
78,-6,17,0.13,0.88,-0.05,3.23,-3.17,10.07
80,-6,16,0.13,0.88,-0.05,2.93,-3.17,10.8
80,-6,15,0.13,0.88,-0.04,0.67,-1.04,12.27
81,-6,13,0.13,0.9,-0.03,0.67,-1.04,12.27
81,-6,11,0.14,0.93,-0.05,-0.49,1.4,13.55
81,-6,8,0.15,0.93,-0.08,0.61,4.21,15.01
81,-6,5,0.14,0.92,-0.11,2.26,5.13,15.5
81,-7,4,0.13,0.91,-0.12,4.21,4.76,15.5
82,-7,4,0.13,0.9,-0.1,5.55,4.58,15.99
82,-7,3,0.13,0.9,-0.07,5.8,4.52,16.24
82,-7,3,0.12,0.9,-0.04,5.19,4.94,15.87
82,-7,3,0.13,0.9,-0.04,3.17,6.04,15.44
82,-7,2,0.14,0.91,-0.05,0.24,5.68,15.14
82,-7,2,0.14,0.93,-0.07,-2.01,5.62,15.26
82,-7,2,0.14,0.94,-0.09,-3.17,5.49,15.26
82,-8,1,0.15,0.94,-0.12,-3.3,5.8,15.08
82,-8,1,0.14,0.94,-0.13,-1.95,5.49,15.56
82,-8,1,0.14,0.92,-0.11,-0.67,5.19,15.75
82,-8,0,0.12,0.94,-0.1,-1.46,5.43,16.17
82,-8,0,0.12,0.93,-0.09,-2.99,4.94,16.11
82,-9,0,0.12,0.93,-0.09,-5.37,5.19,15.81
82,-9,0,0.12,0.95,-0.1,-6.96,4.52,14.77
82,-9,-1,0.1,0.97,-0.11,-8.24,4.46,14.28
82,-9,-1,0.11,0.98,-0.13,-8.24,4.46,14.28
82,-10,-2,0.11,1,-0.14,-8.79,3.72,13.79
82,-10,-3,0.1,1,-0.14,-8.42,2.81,12.94
82,-11,-3,0.11,1,-0.14,-7.69,2.38,11.96
82,-11,-4,0.11,0.99,-0.13,-7.14,2.01,10.93
82,-11,-4,0.11,0.98,-0.13,-6.65,1.46,10.38
83,-12,-4,0.11,0.97,-0.13,-6.16,1.65,10.25
83,-12,-4,0.11,0.96,-0.13,-6.29,1.77,10.38
83,-14,-5,0.11,0.95,-0.14,-7.51,1.4,10.5
83,-17,-6,0.1,0.97,-0.14,-9.09,0.43,9.83
84,-21,-7,0.1,0.98,-0.15,-9.7,-0.31,9.4
84,-23,-7,0.09,0.99,-0.17,-9.4,-0.24,9.4
84,-24,-7,0.09,0.99,-0.18,-8.36,0.55,9.4
84,-24,-7,0.09,0.98,-0.19,-6.84,-0.06,8.61
84,-25,-7,0.08,0.97,-0.18,-5.19,-0.37,8.42
84,-25,-7,0.07,0.98,-0.17,-4.76,-0.43,7.81
84,-25,-7,0.07,0.98,-0.15,-4.7,-0.49,7.2
84,-25,-7,0.08,0.98,-0.15,-4.88,-0.18,6.71
84,-26,-8,0.09,0.98,-0.16,-4.52,0.12,6.29
84,-27,-8,0.08,0.97,-0.17,-4.39,0.12,6.04
85,-28,-8,0.08,0.97,-0.18,-3.85,0.31,5.98
85,-31,-8,0.08,0.96,-0.18,-3.36,0.43,5.8
85,-37,-8,0.09,0.97,-0.16,-3.23,0.49,5.31
85,-40,-8,0.09,0.97,-0.15,-3.11,-0.06,4.94
85,-41,-8,0.08,0.97,-0.15,-3.05,0.18,5.07
85,-42,-8,0.09,0.97,-0.15,-3.05,0.49,5.07
85,-43,-8,0.08,0.97,-0.15,-3.11,-0.12,4.76
85,-44,-8,0.09,0.96,-0.15,-2.69,-0.85,4.33
85,-45,-9,0.08,0.96,-0.16,-3.17,-0.61,4.39
85,-46,-9,0.08,0.96,-0.16,-3.17,-0.31,3.85
85,-46,-9,0.07,0.96,-0.17,-2.56,0.55,4.09
85,-47,-9,0.07,0.96,-0.17,-2.56,0.55,3.54
86,-47,-9,0.07,0.96,-0.18,-2.44,0.61,3.42
86,-48,-9,0.07,0.96,-0.18,-2.32,0.31,3.17
86,-48,-9,0.08,0.96,-0.18,-2.2,-0.31,2.38
86,-48,-9,0.08,0.97,-0.17,-1.59,-0.43,2.26
86,-49,-9,0.08,0.96,-0.17,-1.04,-0.06,2.14
86,-49,-9,0.08,0.96,-0.17,-0.85,0.12,1.83
86,-50,-9,0.08,0.95,-0.18,-0.73,-0.49,1.46
86,-51,-10,0.08,0.96,-0.18,-0.85,-0.49,1.28
86,-52,-10,0.08,0.96,-0.18,-0.67,-0.37,1.1
86,-53,-10,0.08,0.96,-0.17,-0.73,0.06,1.04
86,-54,-10,0.08,0.96,-0.17,-0.92,0.12,1.28
86,-56,-10,0.08,0.96,-0.17,-1.22,0.61,1.22
86,-57,-10,0.09,0.97,-0.17,-1.22,0.61,1.22
85,-59,-10,0.09,0.97,-0.18,-1.04,0.37,1.04
85,-60,-10,0.09,0.96,-0.19,-0.92,-0.31,0.67
85,-60,-10,0.09,0.96,-0.19,-0.67,-0.24,0.61
85,-61,-10,0.08,0.96,-0.18,0.12,-0.43,0.73
85,-62,-10,0.08,0.96,-0.18,0.31,-0.43,0.67
85,-62,-10,0.08,0.96,-0.17,0.12,-0.55,0.85
85,-62,-10,0.09,0.97,-0.18,-0.37,-0.24,1.16
85,-63,-10,0.09,0.96,-0.19,-0.49,0,0.67
85,-63,-10,0.09,0.96,-0.19,-0.49,0.06,0.85
85,-63,-10,0.09,0.96,-0.19,-0.37,0.18,0.85
85,-64,-11,0.09,0.96,-0.19,0.43,0.12,1.22
85,-64,-11,0.09,0.96,-0.18,0.79,0.67,1.53
85,-64,-11,0.09,0.97,-0.18,0.43,0.18,1.16
85,-64,-11,0.09,0.97,-0.18,0.24,0.24,1.1
85,-64,-11,0.09,0.97,-0.18,0.24,0.43,1.16
85,-64,-11,0.09,0.97,-0.19,0.55,0.55,1.34
85,-64,-11,0.09,0.96,-0.19,0.85,0.37,1.59
85,-64,-11,0.08,0.96,-0.19,0.92,0.31,1.46
85,-64,-11,0.08,0.96,-0.19,0.92,0.12,1.53
85,-64,-11,0.09,0.97,-0.19,0.85,0.43,1.46
85,-65,-11,0.09,0.97,-0.19,1.1,0.18,1.16
85,-65,-11,0.08,0.97,-0.19,1.71,0.55,1.4
85,-65,-11,0.08,0.97,-0.19,1.95,0.67,1.65
85,-65,-11,0.08,0.96,-0.18,2.26,0.73,1.65
85,-65,-11,0.09,0.96,-0.19,2.2,0.67,1.59
85,-65,-11,0.09,0.96,-0.19,2.08,0.49,1.71
85,-65,-11,0.09,0.96,-0.19,1.71,0.43,1.4
85,-65,-11,0.09,0.96,-0.19,1.71,0.43,1.4
85,-65,-11,0.09,0.96,-0.19,2.08,0.43,1.65
85,-65,-11,0.09,0.96,-0.18,2.38,0.79,1.95
85,-65,-11,0.09,0.96,-0.18,2.62,0.43,1.95
85,-65,-11,0.08,0.96,-0.18,2.56,0.24,1.95
85,-65,-11,0.08,0.95,-0.18,2.5,0.43,1.95
85,-65,-11,0.08,0.96,-0.19,2.01,0.55,1.4
85,-65,-11,0.08,0.96,-0.19,2.14,1.04,2.01
85,-65,-11,0.08,0.96,-0.18,2.14,1.22,2.14
85,-65,-11,0.08,0.96,-0.18,2.26,1.1,1.95
85,-65,-11,0.09,0.96,-0.18,2.62,0.85,1.71
85,-65,-11,0.08,0.95,-0.18,2.44,0.49,1.65
85,-65,-10,0.08,0.95,-0.18,1.95,0.37,1.53
85,-65,-10,0.08,0.96,-0.18,1.77,0.67,1.77
85,-65,-10,0.08,0.96,-0.18,1.65,0.92,1.77
85,-65,-10,0.08,0.95,-0.18,1.46,1.04,1.71
85,-65,-10,0.09,0.96,-0.18,1.22,0.98,1.65
85,-65,-11,0.09,0.96,-0.18,0.79,0.85,1.59
85,-65,-11,0.09,0.96,-0.18,0.79,0.67,1.65
85,-65,-11,0.08,0.96,-0.18,1.04,0.61,1.71
85,-65,-11,0.08,0.96,-0.18,1.16,0.85,1.77
85,-65,-11,0.08,0.96,-0.19,1.16,0.73,1.59
85,-65,-11,0.08,0.95,-0.18,1.16,0.73,1.59
85,-65,-11,0.08,0.96,-0.19,0.98,0.79,1.53
85,-65,-11,0.08,0.96,-0.19,0.67,0.61,1.46
85,-65,-11,0.09,0.96,-0.19,0.67,0.85,1.53
85,-65,-11,0.09,0.96,-0.19,0.85,0.98,1.53
85,-65,-11,0.08,0.96,-0.19,0.85,0.73,1.71
85,-65,-11,0.08,0.96,-0.19,1.04,0.49,1.77
85,-65,-11,0.08,0.96,-0.19,1.28,0.55,2.01
85,-66,-11,0.08,0.96,-0.19,0.98,0.67,1.77
85,-66,-11,0.08,0.96,-0.19,0.67,0.79,1.53
85,-66,-11,0.08,0.96,-0.19,0.43,0.98,1.46
85,-66,-11,0.08,0.96,-0.19,0.55,0.73,1.71
85,-66,-11,0.09,0.96,-0.19,0.79,0.61,1.65
85,-66,-11,0.09,0.96,-0.2,0.92,0.55,1.71
85,-66,-11,0.08,0.96,-0.2,1.22,0.55,1.71
85,-66,-11,0.08,0.95,-0.19,1.16,0.67,1.83
85,-67,-11,0.08,0.96,-0.19,1.16,0.67,1.89
85,-67,-11,0.08,0.96,-0.19,1.04,0.67,1.83
85,-67,-11,0.08,0.96,-0.19,0.92,0.67,1.71
85,-67,-11,0.08,0.96,-0.19,0.55,0.55,1.46
85,-67,-11,0.08,0.96,-0.19,0.12,0.43,1.28
85,-67,-11,0.09,0.96,-0.19,0.12,0.43,1.28
85,-67,-11,0.09,0.96,-0.19,0.12,0.79,1.34
85,-67,-11,0.09,0.96,-0.19,-0.06,0.73,1.77
85,-67,-11,0.09,0.95,-0.19,-0.55,0.37,1.83
85,-67,-11,0.09,0.95,-0.19,-1.16,0.18,1.71
85,-67,-11,0.09,0.94,-0.19,-2.08,-0.43,1.28
85,-67,-11,0.09,0.94,-0.2,-3.54,-0.98,1.1
85,-67,-11,0.07,0.94,-0.21,-4.52,-1.53,0.73
85,-67,-11,0.09,0.95,-0.21,-5,-0.73,0.55
85,-67,-11,0.09,0.95,-0.2,-5.31,-0.98,0.79
85,-67,-11,0.1,0.95,-0.18,-4.39,-1.59,1.28
85,-67,-11,0.1,0.94,-0.18,-4.94,-1.83,1.4
85,-66,-11,0.1,0.94,-0.18,-6.04,-1.59,1.34
85,-66,-11,0.1,0.94,-0.19,-6.77,-0.85,1.59
85,-66,-11,0.1,0.93,-0.19,-7.93,-0.92,1.28
85,-66,-11,0.11,0.95,-0.19,-8.3,-1.1,0.98
85,-66,-11,0.1,0.95,-0.2,-8.42,-2.14,2.38
85,-66,-11,0.1,0.95,-0.22,-8.73,-1.22,2.75
85,-66,-11,0.1,0.95,-0.24,-10.38,-0.73,2.81
85,-66,-12,0.09,0.92,-0.23,-9.46,-1.16,2.56
85,-66,-12,0.08,0.94,-0.22,-9.46,-0.85,1.16
85,-66,-12,0.11,0.96,-0.2,-10.44,-0.18,2.14
85,-66,-12,0.08,0.96,-0.2,-9.34,-0.06,4.21
85,-66,-12,0.1,0.95,-0.21,-8.73,0.18,4.21
85,-66,-12,0.1,0.96,-0.23,-9.95,-0.06,3.91
85,-66,-12,0.07,0.95,-0.24,-9.4,-0.55,3.66
85,-66,-12,0.06,0.96,-0.25,-8.73,0.55,3.17
85,-66,-12,0.07,0.96,-0.25,-9.22,-0.61,4.09
85,-67,-12,0.05,0.95,-0.26,-6.9,-0.98,4.94
85,-67,-12,0.1,0.95,-0.24,-6.59,1.28,4.39
85,-67,-12,0.13,0.97,-0.23,-6.9,1.22,4.7
85,-67,-12,0.09,0.93,-0.23,-5.98,-0.24,5.74
85,-67,-12,0.08,0.92,-0.21,-5.55,-0.73,4.64
85,-67,-12,0.09,0.96,-0.2,-7.57,-1.46,3.36
85,-67,-12,0.07,0.96,-0.21,-9.28,-2.56,3.36
85,-67,-12,0.06,0.96,-0.24,-8.36,-1.95,2.87
85,-67,-13,0.06,0.96,-0.24,-8.61,-1.65,2.87
85,-67,-13,0.07,0.95,-0.27,-8,-3.17,3.97
85,-67,-13,0.06,0.95,-0.28,-7.2,-4.21,4.15
85,-67,-13,0.06,0.96,-0.28,-7.2,-4.21,4.15
85,-67,-13,0.04,0.96,-0.27,-5.8,-4.76,3.91
86,-67,-13,0.04,0.94,-0.27,-3.85,-4.88,3.36
86,-67,-13,0.04,0.94,-0.28,-3.97,-4.39,2.38
86,-67,-13,0.05,0.96,-0.28,-3.97,-4.76,1.16
86,-67,-13,0.05,0.97,-0.28,-3.6,-5,0.79
86,-68,-13,0.05,0.96,-0.27,-1.89,-4.39,0.61
86,-68,-14,0.05,0.94,-0.26,-0.31,-4.33,0.31
87,-68,-14,0.05,0.95,-0.26,-1.59,-3.48,-0.18
87,-69,-15,0.07,0.95,-0.25,-1.65,-2.69,-0.12
87,-69,-15,0.09,0.93,-0.26,-0.55,-2.38,0.49
87,-69,-15,0.07,0.93,-0.26,0.31,-2.38,0.92
86,-69,-15,0.08,0.96,-0.25,-0.43,-2.5,1.04
86,-69,-15,0.07,0.96,-0.24,-0.18,-1.71,1.4
86,-69,-15,0.07,0.96,-0.25,0.85,-0.67,1.53
86,-69,-15,0.06,0.94,-0.26,0.67,-0.55,1.53
86,-70,-15,0.06,0.94,-0.27,1.4,-0.92,1.65
86,-70,-15,0.06,0.94,-0.28,2.01,-1.04,1.95
87,-70,-15,0.07,0.95,-0.27,3.05,-1.53,1.95
87,-70,-15,0.07,0.95,-0.27,4.39,-2.26,1.95
86,-71,-15,0.08,0.94,-0.27,4.88,-2.44,1.53
86,-71,-15,0.07,0.95,-0.27,4.7,-2.81,1.34
86,-71,-15,0.09,0.96,-0.27,5.74,-2.56,1.59
86,-71,-15,0.09,0.92,-0.25,7.32,-2.08,1.83
86,-71,-15,0.08,0.9,-0.2,7.69,-3.48,1.46
86,-71,-15,0.09,0.9,-0.19,-0.79,-1.65,2.14
