roll,pitch,yaw,ax,ay,az,gx,gy,gz
2,7,70,-1.02,-0.05,-0.12,-4.88,5.74,-1.83
2,7,70,-1.02,-0.05,-0.12,-7.14,3.66,-1.95
2,7,70,-1.03,-0.04,-0.13,-7.14,3.66,-1.95
2,7,70,-1.02,-0.04,-0.12,-8.36,4.82,-2.2
2,7,70,-1.02,-0.03,-0.13,-8.73,4.33,-2.32
2,7,70,-1.02,-0.03,-0.14,-9.28,3.85,-2.62
2,7,70,-1.02,-0.03,-0.14,-9.7,3.85,-2.99
2,7,70,-1.01,-0.03,-0.14,-9.7,3.85,-2.99
2,7,70,-1,-0.03,-0.14,-9.58,3.97,-2.99
2,7,70,-1,-0.03,-0.14,-9.95,3.85,-3.05
2,7,70,-1,-0.03,-0.14,-10.25,3.78,-3.17
2,7,70,-1,-0.03,-0.14,-10.44,3.85,-3.23
2,7,70,-1,-0.02,-0.13,-10.44,3.85,-3.23
2,7,70,-1,-0.02,-0.13,-10.86,3.72,-3.17
1,7,71,-1,-0.02,-0.13,-11.47,3.72,-3.3
1,7,71,-1,-0.02,-0.13,-12.08,3.36,-3.36
1,7,72,-1,-0.02,-0.13,-12.39,3.42,-3.42
1,7,72,-1,-0.02,-0.14,-12.39,3.42,-3.42
1,7,72,-1.01,-0.02,-0.13,-12.76,3.3,-3.48
1,7,73,-1.01,-0.02,-0.12,-13.18,3.3,-3.54
1,7,73,-1.02,-0.02,-0.12,-14.1,3.48,-3.72
1,7,73,-1.02,-0.02,-0.12,-15.32,3.42,-4.09
1,7,74,-1.01,-0.02,-0.13,-15.32,3.42,-4.09
1,7,75,-1.02,-0.02,-0.13,-15.93,3.42,-3.85
1,7,75,-1.02,-0.02,-0.13,-16.54,3.42,-3.78
1,7,76,-1.01,-0.02,-0.13,-17.7,3.17,-3.85
1,7,77,-1.01,-0.02,-0.13,-18.43,3.3,-4.09
1,7,77,-1.01,-0.02,-0.13,-18.43,3.3,-4.09
1,7,78,-1.01,-0.02,-0.12,-19.23,3.36,-3.91
1,7,78,-1.01,-0.03,-0.13,-20.32,3.3,-3.97
1,7,78,-1.01,-0.02,-0.13,-21.18,3.11,-3.6
1,7,78,-1.01,-0.02,-0.13,-22.03,2.93,-3.66
1,7,78,-1.01,-0.03,-0.13,-22.03,2.93,-3.66
1,7,79,-1.01,-0.02,-0.14,-22.64,2.81,-3.6
1,7,79,-1.01,-0.02,-0.14,-23.07,2.62,-3.36
1,7,79,-1.01,-0.02,-0.14,-23.62,2.56,-3.36
1,7,79,-1.01,-0.02,-0.13,-24.23,2.44,-3.36
1,7,79,-1.01,-0.02,-0.13,-24.23,2.44,-3.36
1,7,79,-1.01,-0.01,-0.13,-24.54,2.14,-3.23
1,7,79,-1.01,-0.01,-0.13,-24.72,1.65,-3.17
