roll,pitch,yaw,ax,ay,az,gx,gy,gz
1,-20,-88,-0.94,-0.01,0.35,-0.61,0.00,0.31
0,-20,-88,-0.94,-0.01,0.35,-0.31,-0.24,0.31
0,-20,-89,-0.94,-0.01,0.35,0.00,-0.31,0.31
0,-20,-89,-0.95,-0.01,0.35,0.00,-0.31,0.31
0,-20,-89,-0.95,-0.01,0.35,0.31,-0.18,0.31
0,-20,-89,-0.95,-0.01,0.35,0.18,0.00,0.24
0,-20,-89,-0.95,-0.01,0.35,-0.12,0.06,0.18
0,-20,-89,-0.94,-0.01,0.35,-0.12,0.12,0.31
0,-20,-89,-0.94,-0.01,0.35,-0.12,0.12,0.31
0,-20,-89,-0.94,-0.01,0.35,-0.12,-0.31,0.18
0,-20,-89,-0.94,-0.01,0.35,-0.12,-0.12,0.12
0,-20,-89,-0.94,-0.01,0.35,-0.24,-0.06,0.24
0,-20,-89,-0.94,-0.00,0.34,-0.37,-0.24,0.24
0,-20,-89,-0.94,-0.00,0.34,-0.37,-0.24,0.24
0,-20,-89,-0.95,-0.00,0.34,-0.43,-0.37,0.12
0,-20,-89,-0.95,-0.00,0.34,-0.49,-0.43,0.37
0,-20,-89,-0.95,-0.01,0.34,-0.61,-0.18,0.37
0,-20,-89,-0.95,-0.01,0.34,-0.61,0.00,0.00
0,-20,-89,-0.95,-0.01,0.34,-0.55,-0.24,0.24
0,-20,-89,-0.95,-0.01,0.35,-0.55,-0.24,0.24
0,-20,-89,-0.95,-0.01,0.35,-0.43,-0.43,0.24
0,-20,-89,-0.95,-0.01,0.34,-0.31,-0.37,0.31
0,-20,-89,-0.95,-0.01,0.34,-0.18,-0.43,0.12
0,-20,-89,-0.95,-0.01,0.35,-0.06,-0.37,0.12
0,-20,-89,-0.95,-0.01,0.35,-0.06,-0.37,0.12
0,-20,-89,-0.95,-0.01,0.35,-0.12,-0.31,0.18
0,-20,-89,-0.95,-0.01,0.35,-0.06,-0.12,0.18
0,-20,-89,-0.95,-0.01,0.35,-0.24,-0.12,0.06
0,-20,-89,-0.94,-0.01,0.34,-0.55,0.06,-0.18
0,-20,-89,-0.95,-0.01,0.34,-1.22,0.12,-0.37
0,-20,-89,-0.95,-0.01,0.34,-1.22,0.12,-0.37
0,-20,-89,-0.95,-0.01,0.35,-1.28,-0.12,-0.18
0,-20,-89,-0.94,-0.01,0.35,-1.04,-0.43,-0.37
0,-20,-89,-0.94,-0.01,0.35,-0.79,-0.31,0.06
0,-20,-89,-0.95,-0.01,0.35,-0.49,-0.49,0.18
0,-20,-89,-0.95,-0.01,0.35,-0.06,-0.55,0.24
0,-20,-89,-0.95,-0.01,0.35,-0.06,-0.55,0.24
0,-20,-89,-0.95,-0.01,0.35,0.18,-0.18,0.37
0,-20,-89,-0.95,-0.01,0.35,0.12,-0.12,0.37
0,-20,-89,-0.94,-0.01,0.35,-0.18,0.00,0.00
0,-20,-89,-0.94,-0.01,0.34,-0.12,-0.06,0.06
0,-20,-89,-0.94,-0.01,0.34,-0.12,-0.06,0.06
0,-20,-89,-0.94,-0.01,0.34,-0.18,-0.06,0.06
0,-20,-89,-0.94,-0.01,0.35,0.00,-0.18,0.12
0,-20,-89,-0.94,-0.01,0.35,-0.24,-0.06,0.18
1,-20,-89,-0.95,-0.01,0.35,-0.55,-0.24,0.18
1,-20,-89,-0.95,-0.01,0.35,-0.67,-0.12,-0.06
1,-20,-89,-0.95,-0.02,0.36,-0.67,-0.12,-0.06
1,-20,-88,-0.94,-0.02,0.35,-1.04,0.00,-0.12
1,-20,-88,-0.94,-0.02,0.34,-1.34,0.18,-0.12
1,-20,-88,-0.94,-0.00,0.35,-1.28,-0.24,-0.18
1,-20,-88,-0.94,0.00,0.35,-1.16,-0.49,-0.31
1,-20,-88,-0.94,0.00,0.35,-1.16,-0.49,-0.31
0,-20,-88,-0.94,0.00,0.35,-1.22,-0.67,-0.18
0,-20,-88,-0.95,0.01,0.35,-1.04,-0.55,0.12
0,-20,-88,-0.95,0.01,0.35,-0.55,-0.55,0.18
0,-20,-88,-0.95,-0.00,0.35,-0.31,-0.61,0.18
0,-20,-88,-0.95,-0.00,0.35,-0.12,-0.49,-0.06
0,-20,-88,-0.95,-0.01,0.35,-0.12,-0.49,-0.06
0,-20,-88,-0.94,-0.01,0.35,0.18,-0.31,0.00
0,-20,-88,-0.94,-0.01,0.35,0.49,0.00,-0.12
0,-20,-88,-0.94,-0.01,0.35,0.43,-0.31,-0.24
0,-20,-88,-0.94,-0.01,0.34,0.24,-0.67,0.00
0,-20,-88,-0.94,-0.01,0.34,0.24,-0.67,0.00
0,-20,-88,-0.94,-0.01,0.35,0.18,-0.79,0.24
0,-20,-88,-0.95,-0.01,0.35,0.12,-0.85,0.31
0,-20,-88,-0.95,-0.01,0.35,0.00,-0.85,0.37
0,-20,-88,-0.95,-0.01,0.35,-0.18,-0.79,0.37
0,-20,-89,-0.95,-0.01,0.35,-0.18,-0.79,0.37
0,-20,-89,-0.95,-0.01,0.35,-0.43,-0.61,0.18
0,-20,-89,-0.95,-0.01,0.35,-0.61,-0.49,0.18
0,-20,-89,-0.95,-0.01,0.35,-0.37,-0.31,0.31
0,-20,-89,-0.94,-0.01,0.35,-0.18,-0.37,0.31
0,-20,-89,-0.94,-0.01,0.35,0.06,-0.37,0.37
0,-20,-89,-0.94,-0.01,0.35,0.06,-0.37,0.37
0,-20,-89,-0.94,-0.01,0.35,0.24,-0.49,0.24
0,-20,-89,-0.94,-0.01,0.35,0.37,-0.61,0.37
0,-20,-89,-0.95,-0.00,0.35,0.31,-0.67,0.49
0,-20,-89,-0.95,-0.01,0.35,0.00,-0.61,0.43
0,-20,-89,-0.95,-0.01,0.35,0.00,-0.61,0.43
0,-20,-89,-0.94,-0.01,0.35,-0.37,-0.43,0.43
0,-20,-89,-0.94,-0.01,0.34,-0.43,-0.06,0.49
0,-20,-89,-0.94,-0.00,0.34,-0.31,-0.24,0.24
0,-20,-89,-0.94,-0.00,0.35,-0.12,-0.61,0.24
0,-20,-89,-0.94,-0.00,0.35,-0.12,-0.61,0.24
0,-20,-89,-0.95,-0.01,0.35,0.31,-0.73,0.43
0,-20,-89,-0.95,-0.01,0.35,0.49,-0.61,0.37
0,-20,-89,-0.95,-0.01,0.35,0.24,-0.24,0.37
0,-20,-89,-0.95,-0.01,0.35,0.12,-0.18,0.31
0,-20,-89,-0.95,-0.01,0.35,0.00,-0.31,0.24
0,-20,-89,-0.95,-0.01,0.35,0.00,-0.31,0.24
0,-20,-89,-0.94,-0.01,0.35,-0.24,-0.31,0.37
0,-20,-89,-0.94,-0.01,0.35,-0.37,-0.31,0.37
0,-20,-89,-0.95,-0.01,0.35,-0.55,-0.55,0.37
0,-20,-89,-0.95,-0.00,0.34,-0.61,-0.49,0.49
0,-20,-89,-0.95,-0.00,0.34,-0.61,-0.49,0.49
0,-20,-89,-0.94,-0.00,0.34,-0.43,-0.61,0.61
0,-20,-89,-0.95,-0.00,0.34,-0.37,-0.67,0.37
0,-20,-89,-0.95,-0.01,0.35,-0.12,-0.85,0.55
0,-20,-89,-0.95,-0.01,0.35,0.24,-0.73,0.61
0,-20,-89,-0.95,-0.01,0.35,0.43,-0.67,0.49
0,-20,-89,-0.95,-0.01,0.35,0.43,-0.67,0.49
0,-20,-89,-0.95,-0.01,0.34,0.06,-0.49,0.61
0,-20,-89,-0.95,-0.01,0.34,-0.12,-0.49,0.55
0,-20,-89,-0.95,-0.01,0.34,-0.24,-0.55,0.43
0,-20,-89,-0.95,-0.01,0.34,-0.31,-0.61,0.61
0,-20,-89,-0.95,-0.01,0.34,-0.31,-0.61,0.61
0,-20,-89,-0.95,-0.01,0.34,-0.31,-0.79,0.61
0,-20,-89,-0.95,-0.01,0.34,-0.24,-1.04,0.55
0,-20,-89,-0.95,-0.00,0.34,-0.18,-0.85,0.61
0,-20,-89,-0.95,-0.00,0.34,-0.24,-0.67,0.49
0,-20,-89,-0.95,-0.00,0.34,-0.24,-0.67,0.49
0,-20,-89,-0.95,-0.01,0.35,-0.55,-0.61,0.37
0,-20,-89,-0.95,-0.01,0.35,-0.55,-0.61,0.43
0,-20,-89,-0.95,-0.01,0.35,-0.61,-0.55,0.49
0,-20,-89,-0.94,-0.01,0.35,-0.49,-0.61,0.43
0,-20,-89,-0.94,-0.01,0.35,-0.43,-0.61,0.49
0,-20,-89,-0.94,-0.01,0.35,-0.43,-0.61,0.49
0,-20,-89,-0.95,-0.01,0.35,-0.43,-0.49,0.73
0,-20,-89,-0.95,-0.01,0.35,-0.43,-0.43,0.61
0,-20,-89,-0.95,-0.01,0.35,-0.43,-0.18,0.49
0,-20,-89,-0.95,-0.01,0.35,-0.49,-0.24,0.61
0,-20,-89,-0.95,-0.01,0.35,-0.43,-0.24,0.55
0,-20,-89,-0.95,-0.01,0.34,-0.43,-0.24,0.55
0,-20,-89,-0.94,-0.01,0.35,-0.55,-0.18,0.61
0,-20,-89,-0.94,-0.01,0.35,-0.49,-0.24,0.61
0,-20,-89,-0.94,-0.01,0.34,-0.85,-0.24,0.49
0,-20,-89,-0.94,-0.01,0.34,-0.79,-0.43,0.61
0,-20,-89,-0.94,-0.01,0.34,-0.79,-0.43,0.61
0,-20,-89,-0.95,-0.01,0.35,-0.55,-0.67,0.61
0,-20,-89,-0.95,-0.02,0.36,-0.85,-0.24,0.49
0,-20,-89,-0.94,-0.02,0.36,-1.10,0.12,0.49
0,-20,-89,-0.95,-0.01,0.35,-0.67,0.37,0.49
0,-20,-89,-0.95,-0.01,0.35,-0.12,0.31,0.43
0,-20,-89,-0.95,-0.00,0.35,-0.12,0.31,0.43
0,-20,-89,-0.95,0.00,0.34,0.18,0.12,0.24
0,-20,-89,-0.95,0.00,0.34,0.12,0.12,0.24
0,-20,-89,-0.94,0.00,0.35,-0.24,0.12,0.37
0,-20,-89,-0.94,0.00,0.35,-0.24,0.12,0.37
0,-20,-89,-0.94,0.00,0.36,-0.55,0.18,0.55
0,-20,-89,-0.95,-0.00,0.35,-0.43,0.00,0.55
0,-20,-89,-0.95,-0.01,0.35,-0.24,-0.06,0.55
0,-20,-89,-0.95,-0.01,0.35,-0.18,0.06,0.37
0,-20,-89,-0.95,-0.01,0.35,-0.18,0.06,0.37
0,-20,-89,-0.94,-0.01,0.34,-0.55,0.06,0.12
0,-20,-89,-0.95,-0.01,0.34,-1.10,0.06,0.18
0,-20,-89,-0.95,-0.01,0.34,-1.22,-0.24,0.37
0,-20,-89,-0.95,-0.01,0.34,-0.73,-0.55,0.37
0,-20,-89,-0.95,-0.01,0.34,-0.24,-0.73,0.67
0,-20,-89,-0.95,-0.01,0.35,-0.24,-0.73,0.67
0,-20,-89,-0.95,-0.01,0.35,-0.24,-0.73,0.98
1,-20,-89,-0.95,-0.01,0.35,-0.31,-0.92,1.10
1,-20,-88,-0.95,-0.01,0.35,-0.55,-0.73,0.92
1,-20,-88,-0.95,-0.01,0.35,-0.79,-0.55,0.73
1,-20,-88,-0.95,-0.01,0.35,-0.79,-0.55,0.73
0,-20,-88,-0.94,-0.01,0.36,-0.85,-0.43,0.67
0,-20,-88,-0.94,-0.01,0.35,-0.55,-0.37,0.61
0,-20,-89,-0.94,-0.01,0.35,-0.06,-0.55,0.67
0,-20,-89,-0.95,-0.01,0.35,0.00,-0.43,0.67
0,-20,-89,-0.95,-0.01,0.35,-0.24,-0.12,0.67
0,-20,-89,-0.95,-0.01,0.35,-0.24,-0.12,0.67
0,-20,-89,-0.95,-0.01,0.35,-0.73,0.06,0.37
0,-20,-89,-0.95,-0.01,0.35,-1.04,0.00,0.37
0,-20,-89,-0.95,-0.01,0.34,-1.22,0.12,0.31
0,-20,-89,-0.94,-0.01,0.34,-1.28,0.12,0.43
0,-20,-89,-0.94,-0.01,0.34,-1.28,0.12,0.43
1,-20,-89,-0.94,-0.01,0.34,-1.34,0.06,0.31
1,-20,-88,-0.94,-0.01,0.34,-1.16,0.18,0.49
1,-20,-88,-0.95,-0.01,0.34,-0.98,0.31,0.61
0,-20,-89,-0.95,-0.01,0.34,-0.98,0.31,0.49
0,-20,-89,-0.95,-0.01,0.34,-0.98,0.31,0.49
0,-20,-89,-0.95,-0.01,0.35,-1.04,0.43,0.55
0,-20,-89,-0.95,-0.01,0.35,-0.98,0.31,0.61
0,-20,-89,-0.95,-0.01,0.35,-1.04,0.31,0.55
0,-20,-89,-0.95,-0.01,0.34,-0.92,0.06,0.43
0,-20,-89,-0.95,-0.01,0.34,-0.73,-0.12,0.43
0,-20,-89,-0.95,-0.01,0.34,-0.73,-0.12,0.43
0,-20,-89,-0.94,-0.01,0.35,-0.49,-0.12,0.12
0,-20,-89,-0.94,-0.00,0.35,-0.55,-0.12,0.24
0,-20,-89,-0.94,-0.00,0.34,-0.73,-0.37,0.43
0,-20,-89,-0.95,-0.00,0.34,-0.55,-0.37,0.43
0,-20,-89,-0.95,-0.00,0.34,-0.55,-0.37,0.43
0,-20,-89,-0.95,-0.00,0.34,-0.55,-0.18,0.37
0,-20,-89,-0.95,-0.01,0.34,-0.73,0.00,0.49
0,-20,-89,-0.95,-0.01,0.34,-0.79,-0.18,0.37
0,-20,-89,-0.95,-0.01,0.34,-0.92,-0.06,0.43
0,-20,-89,-0.95,-0.01,0.34,-0.92,-0.06,0.43
0,-20,-89,-0.95,-0.01,0.34,-0.92,0.06,0.43
0,-20,-89,-0.95,-0.01,0.34,-0.92,0.12,0.55
0,-20,-89,-0.95,-0.01,0.34,-0.79,-0.18,0.43
0,-20,-89,-0.95,-0.01,0.34,-0.92,-0.31,0.55
0,-20,-89,-0.95,-0.01,0.34,-0.98,-0.18,0.24
0,-20,-89,-0.94,-0.01,0.35,-0.98,-0.18,0.24
0,-20,-89,-0.94,-0.01,0.35,-1.04,-0.18,0.43
0,-20,-89,-0.95,-0.01,0.35,-1.10,-0.31,0.43
0,-20,-89,-0.95,-0.01,0.35,-1.22,-0.06,0.37
0,-20,-89,-0.95,-0.01,0.35,-1.10,0.06,0.49
0,-20,-89,-0.95,-0.01,0.35,-1.10,0.06,0.49
0,-20,-89,-0.95,-0.01,0.35,-0.85,-0.06,0.37
0,-20,-89,-0.94,-0.01,0.35,-0.73,-0.06,0.31
0,-20,-89,-0.94,-0.01,0.35,-0.55,-0.12,0.55
0,-20,-89,-0.94,-0.01,0.35,-0.55,-0.24,0.55
0,-20,-89,-0.94,-0.01,0.35,-0.67,-0.37,0.67
0,-20,-89,-0.94,-0.01,0.35,-0.67,-0.37,0.67
0,-20,-89,-0.95,-0.01,0.35,-0.85,-0.18,0.67
0,-20,-89,-0.95,-0.01,0.35,-1.34,-0.12,0.55
0,-20,-89,-0.94,-0.01,0.35,-1.53,-0.12,0.37
0,-20,-89,-0.94,-0.01,0.35,-1.59,-0.18,0.55
0,-20,-89,-0.94,-0.00,0.35,-1.59,-0.18,0.55
0,-20,-89,-0.94,-0.01,0.35,-1.46,-0.31,0.55
0,-20,-89,-0.94,-0.01,0.35,-1.22,-0.18,0.49
0,-20,-89,-0.94,-0.01,0.35,-1.10,-0.31,0.49
0,-20,-89,-0.94,-0.01,0.35,-0.79,-0.43,0.55
0,-20,-89,-0.94,-0.01,0.35,-0.79,-0.43,0.55
0,-20,-89,-0.94,-0.01,0.35,-0.73,-0.43,0.37
0,-20,-89,-0.95,-0.01,0.35,-0.67,-0.37,0.43
0,-20,-89,-0.95,-0.01,0.36,-0.98,-0.12,0.37
0,-20,-89,-0.94,-0.01,0.35,-1.46,0.06,0.24
0,-20,-89,-0.94,-0.01,0.35,-1.16,0.12,0.31
0,-20,-89,-0.94,-0.01,0.35,-1.16,0.12,0.31
0,-20,-89,-0.95,-0.00,0.35,-0.98,0.00,0.31
0,-20,-89,-0.95,0.00,0.35,-1.04,-0.31,0.37
0,-20,-89,-0.95,0.00,0.34,-0.98,-0.24,0.31
0,-20,-89,-0.95,0.00,0.34,-0.79,-0.31,0.24
0,-20,-89,-0.95,0.00,0.35,-0.79,-0.31,0.24
0,-20,-89,-0.95,0.00,0.35,-0.79,-0.43,0.31
0,-20,-89,-0.94,-0.00,0.35,-0.67,-0.85,0.37
0,-20,-89,-0.95,-0.01,0.35,-0.37,-0.73,0.49
0,-20,-89,-0.94,-0.01,0.35,-0.43,-0.43,0.43
0,-20,-89,-0.94,-0.01,0.35,-0.43,-0.43,0.43
0,-20,-89,-0.94,-0.01,0.35,-0.61,-0.67,0.55
0,-20,-89,-0.94,-0.01,0.34,-0.92,-0.98,0.49
0,-20,-89,-0.95,-0.00,0.34,-0.85,-1.04,0.55
0,-20,-89,-0.95,-0.00,0.35,-0.98,-0.79,0.61
0,-20,-89,-0.95,-0.00,0.35,-0.98,-0.79,0.61
0,-20,-89,-0.95,-0.00,0.35,-0.92,-0.55,0.43
0,-20,-89,-0.95,-0.00,0.35,-0.92,-0.49,0.43
0,-20,-89,-0.95,-0.01,0.35,-0.98,-0.43,0.73
0,-20,-89,-0.94,-0.01,0.35,-0.67,-0.43,0.79
0,-20,-89,-0.94,-0.01,0.35,-0.85,-0.43,0.67
0,-20,-89,-0.94,-0.01,0.35,-0.85,-0.43,0.67
0,-20,-89,-0.94,-0.01,0.35,-0.79,-0.55,0.61
0,-20,-89,-0.95,-0.01,0.35,-0.98,-0.67,0.61
0,-20,-89,-0.94,-0.01,0.35,-0.92,-0.67,0.55
0,-20,-89,-0.94,-0.01,0.35,-0.79,-0.61,0.67
0,-20,-89,-0.94,-0.01,0.35,-0.79,-0.61,0.67
0,-20,-89,-0.95,-0.01,0.35,-0.98,-0.73,0.55
0,-20,-89,-0.95,-0.01,0.35,-1.04,-0.67,0.43
0,-20,-89,-0.94,-0.01,0.35,-1.10,-0.49,0.49
0,-20,-89,-0.94,-0.01,0.34,-1.16,-0.49,0.49
0,-20,-89,-0.94,-0.01,0.34,-1.34,-0.43,0.49
